checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label,task_6_response
>= 200 debit memo ,6,existing credits paid back duly till now,car (new),709,>= 1000 debit memo,<1 years,2,none,2,real estate,27,none,own,1,unemployed/ unskilled  - non-resident,1,none,no,male,married/widowed,1,0
0  to 200 debit memo,36,existing credits paid back duly till now,radio/television,4795,<100 debit memo,<1 years,4,none,1,unknown / no property,30,none,own,1,management/ highly qualified employee,1,yes,yes,female,divorced/separated,1,1
no account,21,critical account,furniture/equipment,2288,<100 debit memo,<1 years,4,none,4,savings agreement/life insurance,23,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,1,0
no account,18,critical account,radio/television,1582,>= 1000 debit memo,>=7 years,4,none,4,car or other,46,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1,1
no account,10,existing credits paid back duly till now,radio/television,1924,<100 debit memo,1 to  4 years,1,none,4,savings agreement/life insurance,38,none,own,1,skilled employee / official,1,yes,no,male,divorced/separated,1,1
>= 200 debit memo ,36,existing credits paid back duly till now,radio/television,5848,<100 debit memo,1 to  4 years,4,none,1,car or other,24,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1
<0 debit memo,12,existing credits paid back duly till now,furniture/equipment,1282,<100 debit memo,1 to  4 years,2,none,4,car or other,20,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1
<0 debit memo,18,existing credits paid back duly till now,furniture/equipment,1131,<100 debit memo,unemployed,4,none,2,car or other,33,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1
<0 debit memo,15,no credits taken,car (new),950,<100 debit memo,>=7 years,4,none,3,car or other,33,none,rent,2,skilled employee / official,2,none,yes,male,divorced/separated,0,1
<0 debit memo,12,existing credits paid back duly till now,furniture/equipment,2577,<100 debit memo,1 to  4 years,2,none,1,car or other,42,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1
no account,12,existing credits paid back duly till now,radio/television,1963,<100 debit memo,4 to 7 years,4,none,2,car or other,31,none,rent,2,management/ highly qualified employee,2,yes,yes,male,divorced/separated,1,1
no account,24,critical account,furniture/equipment,3777,>= 1000 debit memo,1 to  4 years,4,none,4,real estate,50,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1
no account,24,existing credits paid back duly till now,business,4591,>= 1000 debit memo,1 to  4 years,2,none,3,savings agreement/life insurance,54,none,own,3,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,1
no account,6,existing credits paid back duly till now,radio/television,2108,<100 debit memo,4 to 7 years,2,none,2,real estate,29,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed,1,1
no account,6,critical account,radio/television,1382,<100 debit memo,1 to  4 years,1,none,1,car or other,28,none,own,2,skilled employee / official,1,yes,yes,female,divorced/separated,1,1
0  to 200 debit memo,24,existing credits paid back duly till now,car (used),2760,no savings account,>=7 years,4,none,4,unknown / no property,36,bank,for free,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1
no account,12,existing credits paid back duly till now,car (used),1413,>= 1000 debit memo,4 to 7 years,3,none,2,savings agreement/life insurance,55,none,own,1,skilled employee / official,1,none,no,male,divorced/separated,1,1
no account,9,critical account,radio/television,3074,no savings account,1 to  4 years,1,none,2,real estate,33,none,own,2,skilled employee / official,2,none,yes,male,divorced/separated,1,1
<0 debit memo,27,no credits taken,business,5293,<100 debit memo,unemployed,2,none,4,savings agreement/life insurance,50,store,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,0,0
0  to 200 debit memo,6,critical account,retraining,932,no savings account,4 to 7 years,1,none,3,savings agreement/life insurance,39,none,own,2,unskilled - resident,1,none,yes,female,divorced/separated,1,0
no account,9,existing credits paid back duly till now,car (new),2507,500  to  1000 debit memo,>=7 years,2,none,4,unknown / no property,51,none,for free,1,unskilled - resident,1,none,yes,male,divorced/separated,1,1
<0 debit memo,24,existing credits paid back duly till now,radio/television,1823,<100 debit memo,unemployed,4,none,2,car or other,30,store,own,1,management/ highly qualified employee,2,none,yes,male,divorced/separated,0,0
no account,12,critical account,business,1185,<100 debit memo,1 to  4 years,3,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,1,0
0  to 200 debit memo,30,existing credits paid back duly till now,car (new),2150,<100 debit memo,1 to  4 years,4,guarantor,2,unknown / no property,24,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1
no account,24,delay in paying off,furniture/equipment,4151,100  to 500 debit memo,1 to  4 years,2,none,3,savings agreement/life insurance,35,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1,0
0  to 200 debit memo,9,existing credits paid back duly till now,furniture/equipment,2030,no savings account,4 to 7 years,2,none,1,car or other,24,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1
no account,12,critical account,education,2748,<100 debit memo,>=7 years,2,none,4,unknown / no property,57,bank,for free,3,unskilled - resident,1,none,yes,female,divorced/separated,1,1
no account,10,critical account,car (new),1231,<100 debit memo,>=7 years,3,none,4,real estate,32,none,own,2,unskilled - resident,2,none,no,male,divorced/separated,1,1
no account,36,critical account,business,6304,no savings account,>=7 years,4,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1,1
no account,24,existing credits paid back duly till now,radio/television,999,no savings account,>=7 years,4,none,2,car or other,25,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1,1
no account,18,critical account,radio/television,2404,<100 debit memo,1 to  4 years,2,none,2,car or other,26,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,1,1
no account,6,existing credits paid back duly till now,furniture/equipment,4611,<100 debit memo,<1 years,1,none,4,savings agreement/life insurance,32,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,0,0
no account,24,existing credits paid back duly till now,radio/television,1901,100  to 500 debit memo,1 to  4 years,4,none,4,car or other,29,none,rent,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1,1
no account,12,existing credits paid back duly till now,furniture/equipment,1574,<100 debit memo,1 to  4 years,4,none,2,real estate,50,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1
>= 200 debit memo ,18,all credits at this bank paid back duly,radio/television,1445,no savings account,4 to 7 years,4,none,4,car or other,49,bank,own,1,unskilled - resident,1,none,yes,male,divorced/separated,1,1
0  to 200 debit memo,12,existing credits paid back duly till now,radio/television,1092,<100 debit memo,1 to  4 years,4,guarantor,4,real estate,49,none,own,2,skilled employee / official,1,yes,yes,female,divorced/separated,1,1
no account,10,existing credits paid back duly till now,car (new),1287,no savings account,>=7 years,4,co-applicant,2,savings agreement/life insurance,45,none,own,1,unskilled - resident,1,none,no,male,divorced/separated,1,1
>= 200 debit memo ,24,critical account,car (new),1344,no savings account,4 to 7 years,4,none,2,real estate,37,bank,own,2,unskilled - resident,2,none,yes,male,divorced/separated,0,1
0  to 200 debit memo,12,existing credits paid back duly till now,car (new),685,<100 debit memo,4 to 7 years,2,none,3,car or other,25,bank,own,1,unskilled - resident,1,none,yes,male,married/widowed,0,1
<0 debit memo,12,existing credits paid back duly till now,furniture/equipment,708,<100 debit memo,1 to  4 years,2,guarantor,3,savings agreement/life insurance,38,none,own,1,unskilled - resident,2,none,yes,male,divorced/separated,1,1
0  to 200 debit memo,24,existing credits paid back duly till now,furniture/equipment,4351,no savings account,1 to  4 years,1,none,4,savings agreement/life insurance,48,none,own,1,unskilled - resident,1,yes,yes,female,divorced/separated,1,0
<0 debit memo,15,delay in paying off,furniture/equipment,3643,<100 debit memo,>=7 years,1,none,4,savings agreement/life insurance,27,none,own,2,unskilled - resident,1,none,yes,female,divorced/separated,1,0
<0 debit memo,24,existing credits paid back duly till now,radio/television,1938,<100 debit memo,<1 years,4,none,3,savings agreement/life insurance,32,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0,1
no account,24,existing credits paid back duly till now,car (new),1525,>= 1000 debit memo,4 to 7 years,4,none,3,car or other,34,none,own,1,skilled employee / official,2,yes,yes,female,divorced/separated,1,1
0  to 200 debit memo,60,existing credits paid back duly till now,car (new),7408,100  to 500 debit memo,<1 years,4,none,2,savings agreement/life insurance,24,none,own,1,management/ highly qualified employee,1,none,yes,female,divorced/separated,0,0
0  to 200 debit memo,13,existing credits paid back duly till now,radio/television,2101,<100 debit memo,<1 years,2,guarantor,4,savings agreement/life insurance,23,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated,1,1
<0 debit memo,24,existing credits paid back duly till now,furniture/equipment,4169,<100 debit memo,1 to  4 years,4,none,4,savings agreement/life insurance,28,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1
no account,6,delay in paying off,business,1743,100  to 500 debit memo,1 to  4 years,1,none,2,real estate,34,none,own,2,unskilled - resident,1,none,yes,male,divorced/separated,1,0
no account,12,critical account,radio/television,2331,no savings account,>=7 years,1,co-applicant,4,real estate,49,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1
no account,36,delay in paying off,radio/television,4463,<100 debit memo,1 to  4 years,4,none,2,car or other,26,none,own,2,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,0
<0 debit memo,18,existing credits paid back duly till now,furniture/equipment,3650,<100 debit memo,<1 years,1,none,4,car or other,22,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1,1
0  to 200 debit memo,18,existing credits paid back duly till now,furniture/equipment,3001,<100 debit memo,4 to 7 years,2,none,4,real estate,40,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1,1
0  to 200 debit memo,18,existing credits paid back duly till now,car (used),12976,<100 debit memo,unemployed,3,none,4,unknown / no property,38,none,for free,1,management/ highly qualified employee,1,yes,yes,female,divorced/separated,0,0
0  to 200 debit memo,18,critical account,furniture/equipment,7374,<100 debit memo,unemployed,4,none,4,savings agreement/life insurance,40,store,own,2,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1,0
no account,18,existing credits paid back duly till now,car (new),1820,<100 debit memo,1 to  4 years,2,none,2,savings agreement/life insurance,30,none,own,1,management/ highly qualified employee,1,yes,yes,male,married/widowed,1,1
<0 debit memo,6,critical account,radio/television,1957,<100 debit memo,4 to 7 years,1,none,4,car or other,31,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1,0
0  to 200 debit memo,12,existing credits paid back duly till now,car (new),1223,<100 debit memo,>=7 years,1,none,1,real estate,46,none,rent,2,skilled employee / official,1,none,yes,male,divorced/separated,0,1
0  to 200 debit memo,18,critical account,business,1887,no savings account,1 to  4 years,4,none,4,real estate,28,bank,own,2,skilled employee / official,1,none,yes,male,married/widowed,1,0
0  to 200 debit memo,24,existing credits paid back duly till now,radio/television,2039,<100 debit memo,<1 years,1,none,1,savings agreement/life insurance,22,none,own,1,skilled employee / official,1,yes,yes,male,married/widowed,0,1
<0 debit memo,12,existing credits paid back duly till now,car (new),2579,<100 debit memo,<1 years,4,none,1,real estate,33,none,own,1,unskilled - resident,2,none,yes,male,divorced/separated,0,1
no account,21,existing credits paid back duly till now,car (new),2782,500  to  1000 debit memo,4 to 7 years,1,none,2,car or other,31,bank,own,1,management/ highly qualified employee,1,none,yes,female,divorced/separated,1,1
0  to 200 debit memo,24,existing credits paid back duly till now,others,11328,<100 debit memo,1 to  4 years,2,co-applicant,3,car or other,29,bank,own,2,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,1
<0 debit memo,24,existing credits paid back duly till now,car (new),4817,<100 debit memo,4 to 7 years,2,co-applicant,3,savings agreement/life insurance,31,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,0,1
<0 debit memo,11,critical account,car (new),3905,<100 debit memo,1 to  4 years,2,none,2,real estate,36,none,rent,2,skilled employee / official,2,none,yes,male,divorced/separated,1,0
<0 debit memo,15,existing credits paid back duly till now,car (new),1721,<100 debit memo,<1 years,2,none,3,real estate,36,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1
<0 debit memo,24,delay in paying off,radio/television,1659,<100 debit memo,<1 years,4,none,2,car or other,29,none,rent,1,unskilled - resident,1,yes,yes,female,divorced/separated,0,0
no account,33,delay in paying off,business,2764,<100 debit memo,1 to  4 years,2,none,2,car or other,26,none,own,2,skilled employee / official,1,yes,yes,female,divorced/separated,1,0
no account,24,delay in paying off,car (used),4679,<100 debit memo,4 to 7 years,3,none,3,car or other,35,none,own,2,unskilled - resident,1,yes,yes,male,divorced/separated,1,0
0  to 200 debit memo,24,existing credits paid back duly till now,radio/television,3092,100  to 500 debit memo,<1 years,3,none,2,car or other,22,none,rent,1,skilled employee / official,1,yes,yes,male,married/widowed,0,1
<0 debit memo,6,existing credits paid back duly till now,education,448,<100 debit memo,<1 years,4,none,4,savings agreement/life insurance,23,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1
no account,39,existing credits paid back duly till now,car (used),2569,500  to  1000 debit memo,1 to  4 years,4,none,4,car or other,24,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1
0  to 200 debit memo,12,existing credits paid back duly till now,business,1037,100  to 500 debit memo,4 to 7 years,3,none,4,real estate,39,none,own,1,unskilled - resident,1,none,yes,male,divorced/separated,1,1
0  to 200 debit memo,6,delay in paying off,car (new),1209,<100 debit memo,unemployed,4,none,4,savings agreement/life insurance,47,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,0
no account,6,existing credits paid back duly till now,car (new),3518,<100 debit memo,1 to  4 years,2,guarantor,3,savings agreement/life insurance,26,none,rent,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1
no account,12,critical account,radio/television,1934,<100 debit memo,>=7 years,2,none,2,unknown / no property,26,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1,1
no account,6,critical account,radio/television,1237,100  to 500 debit memo,1 to  4 years,1,none,1,savings agreement/life insurance,27,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,1,0
no account,24,critical account,furniture/equipment,1585,<100 debit memo,4 to 7 years,4,none,3,savings agreement/life insurance,40,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1,0
0  to 200 debit memo,24,critical account,radio/television,1216,100  to 500 debit memo,<1 years,4,none,4,unknown / no property,38,bank,own,2,skilled employee / official,2,none,yes,male,divorced/separated,0,0
no account,10,existing credits paid back duly till now,car (new),1309,no savings account,1 to  4 years,4,guarantor,4,savings agreement/life insurance,27,none,own,1,unskilled - resident,1,none,yes,male,divorced/separated,0,1
no account,24,existing credits paid back duly till now,radio/television,1413,<100 debit memo,1 to  4 years,4,none,2,savings agreement/life insurance,28,none,own,1,skilled employee / official,1,none,yes,male,married/widowed,1,1
0  to 200 debit memo,12,delay in paying off,radio/television,585,<100 debit memo,1 to  4 years,4,co-applicant,4,real estate,20,none,rent,2,skilled employee / official,1,none,yes,male,married/widowed,1,0
no account,24,existing credits paid back duly till now,car (new),2255,no savings account,<1 years,4,none,1,savings agreement/life insurance,54,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1
<0 debit memo,6,critical account,car (new),609,<100 debit memo,4 to 7 years,4,none,3,savings agreement/life insurance,37,none,own,2,skilled employee / official,1,none,no,female,divorced/separated,1,0
no account,12,delay in paying off,car (used),1503,<100 debit memo,1 to  4 years,4,none,4,real estate,41,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed,1,0
no account,24,existing credits paid back duly till now,radio/television,3105,no savings account,<1 years,4,none,2,car or other,25,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1,0
<0 debit memo,30,existing credits paid back duly till now,furniture/equipment,6350,no savings account,>=7 years,4,none,4,savings agreement/life insurance,31,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0,1
<0 debit memo,12,all credits at this bank paid back duly,radio/television,626,<100 debit memo,1 to  4 years,4,none,4,real estate,24,bank,own,1,unskilled - resident,1,none,yes,female,divorced/separated,0,1
<0 debit memo,24,all credits at this bank paid back duly,radio/television,1546,<100 debit memo,4 to 7 years,4,guarantor,4,car or other,24,bank,rent,1,unskilled - resident,1,none,yes,male,divorced/separated,0,1
>= 200 debit memo ,6,delay in paying off,radio/television,683,<100 debit memo,<1 years,2,none,1,savings agreement/life insurance,29,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1,0
0  to 200 debit memo,24,delay in paying off,business,4712,no savings account,1 to  4 years,4,none,2,savings agreement/life insurance,37,bank,own,2,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1,0
<0 debit memo,12,existing credits paid back duly till now,car (new),1372,<100 debit memo,4 to 7 years,2,none,3,car or other,36,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0,1
0  to 200 debit memo,48,existing credits paid back duly till now,radio/television,3979,no savings account,4 to 7 years,4,none,1,car or other,41,none,own,2,skilled employee / official,2,yes,yes,male,divorced/separated,1,1
<0 debit memo,48,existing credits paid back duly till now,radio/television,6758,<100 debit memo,1 to  4 years,3,none,2,car or other,31,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,0,1
no account,24,existing credits paid back duly till now,car (used),5433,no savings account,unemployed,2,none,4,savings agreement/life insurance,26,none,rent,1,management/ highly qualified employee,1,yes,yes,female,divorced/separated,1,0
0  to 200 debit memo,18,critical account,car (new),1056,<100 debit memo,>=7 years,3,guarantor,3,real estate,30,bank,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0,0
0  to 200 debit memo,36,existing credits paid back duly till now,repairs,2384,<100 debit memo,<1 years,4,none,1,unknown / no property,33,none,rent,1,unskilled - resident,1,none,yes,male,divorced/separated,0,0
<0 debit memo,9,critical account,car (new),2799,<100 debit memo,1 to  4 years,2,none,2,real estate,36,none,rent,2,skilled employee / official,2,none,yes,male,divorced/separated,1,0
<0 debit memo,18,existing credits paid back duly till now,domestic appliances,1217,<100 debit memo,1 to  4 years,4,none,3,real estate,47,none,own,1,unskilled - resident,1,yes,yes,male,married/widowed,0,1
0  to 200 debit memo,6,all credits at this bank paid back duly,car (new),931,100  to 500 debit memo,<1 years,1,none,1,savings agreement/life insurance,32,store,own,1,unskilled - resident,1,none,yes,female,divorced/separated,0,1
no account,24,critical account,business,4526,<100 debit memo,1 to  4 years,3,none,2,real estate,74,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1,0
no account,15,existing credits paid back duly till now,car (used),1300,no savings account,>=7 years,4,none,4,unknown / no property,45,bank,for free,1,skilled employee / official,2,none,yes,male,divorced/separated,1,1
0  to 200 debit memo,48,no credits taken,business,12204,no savings account,1 to  4 years,2,none,2,car or other,48,bank,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1,0
0  to 200 debit memo,60,delay in paying off,radio/television,9157,no savings account,1 to  4 years,2,none,2,unknown / no property,27,none,for free,1,management/ highly qualified employee,1,none,yes,male,divorced/separated,1,0
no account,18,critical account,car (new),1530,<100 debit memo,1 to  4 years,3,none,2,savings agreement/life insurance,32,bank,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0,1
>= 200 debit memo ,6,existing credits paid back duly till now,furniture/equipment,2116,<100 debit memo,1 to  4 years,2,none,2,real estate,41,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1
0  to 200 debit memo,9,all credits at this bank paid back duly,car (new),1437,100  to 500 debit memo,4 to 7 years,2,none,3,unknown / no property,29,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0,1
no account,42,critical account,furniture/equipment,4042,500  to  1000 debit memo,1 to  4 years,4,none,4,real estate,36,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1,0
<0 debit memo,24,existing credits paid back duly till now,radio/television,3660,<100 debit memo,1 to  4 years,2,none,4,car or other,28,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1,1
no account,9,existing credits paid back duly till now,furniture/equipment,1980,<100 debit memo,<1 years,2,co-applicant,2,car or other,19,none,rent,2,skilled employee / official,1,none,yes,female,divorced/separated,0,0
no account,36,delay in paying off,business,7980,no savings account,<1 years,4,none,4,car or other,27,none,rent,2,skilled employee / official,1,yes,yes,male,divorced/separated,0,0
<0 debit memo,30,no credits taken,furniture/equipment,4583,<100 debit memo,1 to  4 years,2,guarantor,2,real estate,32,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1,1
>= 200 debit memo ,24,existing credits paid back duly till now,car (new),947,<100 debit memo,4 to 7 years,4,none,3,unknown / no property,38,bank,for free,1,skilled employee / official,2,none,yes,male,divorced/separated,0,1
0  to 200 debit memo,36,delay in paying off,car (new),8086,100  to 500 debit memo,>=7 years,2,none,4,car or other,42,none,own,4,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,0
<0 debit memo,14,existing credits paid back duly till now,car (new),3973,<100 debit memo,unemployed,1,none,4,unknown / no property,22,none,for free,1,skilled employee / official,1,none,yes,male,divorced/separated,1,0
>= 200 debit memo ,12,existing credits paid back duly till now,radio/television,1297,<100 debit memo,1 to  4 years,3,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed,1,1
no account,24,critical account,others,6314,<100 debit memo,unemployed,4,co-applicant,2,unknown / no property,27,bank,own,2,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1,0
<0 debit memo,12,critical account,car (new),4843,<100 debit memo,>=7 years,3,co-applicant,4,savings agreement/life insurance,43,none,rent,2,skilled employee / official,1,yes,yes,male,divorced/separated,0,0
<0 debit memo,6,critical account,car (new),4716,no savings account,<1 years,1,none,3,real estate,44,none,own,2,unskilled - resident,2,none,yes,male,divorced/separated,1,0
no account,24,existing credits paid back duly till now,radio/television,2284,<100 debit memo,4 to 7 years,4,none,2,car or other,28,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1
no account,6,existing credits paid back duly till now,car (used),1236,500  to  1000 debit memo,1 to  4 years,2,none,4,savings agreement/life insurance,50,none,rent,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1
0  to 200 debit memo,48,existing credits paid back duly till now,car (new),6560,100  to 500 debit memo,4 to 7 years,3,none,2,savings agreement/life insurance,24,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0,1
0  to 200 debit memo,12,no credits taken,furniture/equipment,2969,<100 debit memo,<1 years,4,none,3,savings agreement/life insurance,25,none,rent,2,skilled employee / official,1,none,yes,female,divorced/separated,0,0
no account,21,existing credits paid back duly till now,car (used),2476,no savings account,>=7 years,4,none,4,real estate,46,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1,1
0  to 200 debit memo,60,existing credits paid back duly till now,car (new),14027,<100 debit memo,4 to 7 years,4,none,2,unknown / no property,27,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,0
no account,30,critical account,car (used),7596,no savings account,>=7 years,1,none,4,car or other,63,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1,0
no account,18,existing credits paid back duly till now,radio/television,1505,<100 debit memo,1 to  4 years,4,none,2,unknown / no property,32,none,for free,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1,1
0  to 200 debit memo,48,all credits at this bank paid back duly,business,6416,<100 debit memo,>=7 years,4,none,3,unknown / no property,59,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1
>= 200 debit memo ,24,critical account,business,1275,>= 1000 debit memo,1 to  4 years,2,none,4,real estate,36,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1,1
0  to 200 debit memo,8,existing credits paid back duly till now,radio/television,760,<100 debit memo,4 to 7 years,4,guarantor,2,real estate,44,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated,1,1
no account,6,critical account,car (new),6761,<100 debit memo,4 to 7 years,1,none,3,unknown / no property,45,none,own,2,management/ highly qualified employee,2,yes,yes,male,divorced/separated,1,0
no account,15,existing credits paid back duly till now,car (used),3029,<100 debit memo,4 to 7 years,2,none,2,car or other,33,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1
