checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,task_1_response,task_2_response,task_3_response,task_4_response,task_5_response,class-label
<0 debit memo,24,critical account,car (used),6419,<100 debit memo,>=7 years,2,none,4,unknown / no property,44,none,for free,2,management/ highly qualified employee,2,yes,yes,female,divorced/separated,0,0,0,0,0,1
<0 debit memo,24,delay in paying off,radio/television,1024,<100 debit memo,<1 years,4,none,4,real estate,48,store,own,1,skilled employee / official,1,none,yes,male,married/widowed,0,0,0,0,0,0
<0 debit memo,24,existing credits paid back duly till now,car (new),2303,<100 debit memo,>=7 years,4,co-applicant,1,real estate,45,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1,1,1,1,0
0  to 200 debit memo,9,existing credits paid back duly till now,radio/television,458,<100 debit memo,1 to  4 years,4,none,3,real estate,24,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1,1,1,1,1
<0 debit memo,12,critical account,furniture/equipment,2246,<100 debit memo,>=7 years,3,none,3,savings agreement/life insurance,60,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0,0,1,0,0,0
<0 debit memo,12,existing credits paid back duly till now,radio/television,727,100  to 500 debit memo,<1 years,4,none,3,unknown / no property,33,none,own,1,unskilled - resident,1,yes,yes,male,married/widowed,1,1,0,1,1,0
no account,18,existing credits paid back duly till now,radio/television,1453,<100 debit memo,<1 years,3,none,1,real estate,26,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1,1,1,1,1,1
no account,12,existing credits paid back duly till now,radio/television,2171,<100 debit memo,<1 years,2,none,2,car or other,29,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1,1,1,1,1,1
no account,9,existing credits paid back duly till now,radio/television,2697,<100 debit memo,1 to  4 years,1,none,2,real estate,32,none,own,1,skilled employee / official,2,none,yes,male,divorced/separated,1,1,1,1,1,1
0  to 200 debit memo,12,existing credits paid back duly till now,car (new),1007,>= 1000 debit memo,1 to  4 years,4,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes,male,married/widowed,1,1,1,0,1,1
no account,12,critical account,education,701,<100 debit memo,1 to  4 years,4,none,2,car or other,32,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0,0,1,0,0,1
<0 debit memo,12,all credits at this bank paid back duly,radio/television,626,<100 debit memo,1 to  4 years,4,none,4,real estate,24,bank,own,1,unskilled - resident,1,none,yes,female,divorced/separated,1,1,1,1,1,0
<0 debit memo,45,existing credits paid back duly till now,radio/television,1845,<100 debit memo,1 to  4 years,4,none,4,unknown / no property,23,none,for free,1,skilled employee / official,1,yes,yes,male,divorced/separated,0,1,0,0,0,0
0  to 200 debit memo,60,existing credits paid back duly till now,car (new),14027,<100 debit memo,4 to 7 years,4,none,2,unknown / no property,27,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,0,0,0,0,0
no account,30,critical account,radio/television,5771,<100 debit memo,4 to 7 years,4,none,2,car or other,25,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,0,0,0,0,0,1
no account,24,existing credits paid back duly till now,car (new),1525,>= 1000 debit memo,4 to 7 years,4,none,3,car or other,34,none,own,1,skilled employee / official,2,yes,yes,female,divorced/separated,1,1,1,1,1,1
no account,22,existing credits paid back duly till now,car (new),1283,no savings account,4 to 7 years,4,none,4,savings agreement/life insurance,25,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1,1,1,0,0,1
no account,6,existing credits paid back duly till now,radio/television,518,<100 debit memo,1 to  4 years,3,none,1,real estate,29,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1,1,1,0,1,1
<0 debit memo,48,no credits taken,furniture/equipment,7119,<100 debit memo,1 to  4 years,3,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,male,divorced/separated,0,0,0,0,0,0
<0 debit memo,24,existing credits paid back duly till now,furniture/equipment,3021,<100 debit memo,1 to  4 years,2,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,male,divorced/separated,0,1,1,0,0,1
no account,48,critical account,car (used),2751,no savings account,>=7 years,4,none,3,car or other,38,none,own,2,skilled employee / official,2,yes,yes,male,divorced/separated,0,0,0,0,0,1
no account,6,existing credits paid back duly till now,repairs,660,500  to  1000 debit memo,4 to 7 years,2,none,4,real estate,23,none,rent,1,unskilled - resident,1,none,yes,male,married/widowed,1,1,1,0,1,1
no account,24,critical account,car (new),2463,100  to 500 debit memo,4 to 7 years,4,none,3,savings agreement/life insurance,27,none,own,2,skilled employee / official,1,yes,yes,male,married/widowed,1,0,0,0,0,1
<0 debit memo,18,existing credits paid back duly till now,car (new),2249,100  to 500 debit memo,4 to 7 years,4,none,3,car or other,30,none,own,1,management/ highly qualified employee,2,yes,yes,male,divorced/separated,1,1,1,1,1,1
0  to 200 debit memo,48,no credits taken,business,14421,<100 debit memo,1 to  4 years,2,none,2,car or other,25,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,0,0,0,0,0,0
<0 debit memo,18,critical account,car (new),3966,<100 debit memo,>=7 years,1,none,4,real estate,33,bank,rent,3,skilled employee / official,1,yes,yes,female,divorced/separated,0,0,0,0,0,0
no account,30,critical account,radio/television,3077,no savings account,>=7 years,3,none,2,car or other,40,none,own,2,skilled employee / official,2,yes,yes,male,divorced/separated,1,0,0,0,0,1
0  to 200 debit memo,9,existing credits paid back duly till now,furniture/equipment,959,<100 debit memo,1 to  4 years,1,none,2,car or other,29,none,own,1,skilled employee / official,1,none,no,female,divorced/separated,1,1,1,0,1,0
>= 200 debit memo ,9,existing credits paid back duly till now,radio/television,745,<100 debit memo,1 to  4 years,3,none,2,real estate,28,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated,1,1,1,0,1,0
no account,24,critical account,radio/television,2684,<100 debit memo,1 to  4 years,4,none,2,real estate,35,none,own,2,unskilled - resident,1,none,yes,male,divorced/separated,0,0,0,0,0,1
no account,12,existing credits paid back duly till now,education,1393,<100 debit memo,>=7 years,4,none,4,savings agreement/life insurance,47,bank,own,3,skilled employee / official,2,yes,yes,male,divorced/separated,1,1,1,1,1,1
<0 debit memo,18,critical account,radio/television,1880,<100 debit memo,4 to 7 years,4,none,1,savings agreement/life insurance,32,none,own,2,management/ highly qualified employee,1,yes,yes,male,married/widowed,0,1,0,0,1,1
0  to 200 debit memo,9,existing credits paid back duly till now,education,1199,<100 debit memo,4 to 7 years,4,none,4,savings agreement/life insurance,67,none,own,2,management/ highly qualified employee,1,yes,yes,female,divorced/separated,1,1,1,0,1,1
0  to 200 debit memo,24,existing credits paid back duly till now,furniture/equipment,3069,100  to 500 debit memo,>=7 years,4,none,4,unknown / no property,30,none,for free,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1,1,1,0,1
no account,24,existing credits paid back duly till now,furniture/equipment,3972,<100 debit memo,4 to 7 years,2,none,4,savings agreement/life insurance,25,none,rent,1,skilled employee / official,1,yes,yes,female,divorced/separated,1,1,0,0,1,1
<0 debit memo,6,existing credits paid back duly till now,car (new),14896,<100 debit memo,>=7 years,1,none,4,unknown / no property,68,bank,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,0,0,0,0,0
<0 debit memo,36,existing credits paid back duly till now,radio/television,2302,<100 debit memo,1 to  4 years,4,none,4,car or other,31,none,rent,1,skilled employee / official,1,none,yes,male,divorced/separated,0,1,1,1,1,0
<0 debit memo,8,critical account,car (new),731,<100 debit memo,>=7 years,4,none,4,real estate,47,none,own,2,unskilled - resident,1,none,yes,male,divorced/separated,0,1,0,0,0,1
<0 debit memo,15,critical account,furniture/equipment,1433,<100 debit memo,1 to  4 years,4,none,3,savings agreement/life insurance,25,none,rent,2,skilled employee / official,1,none,yes,female,divorced/separated,0,0,0,0,0,1
no account,6,existing credits paid back duly till now,domestic appliances,1338,500  to  1000 debit memo,1 to  4 years,1,none,4,real estate,62,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1,1,0,1,1
0  to 200 debit memo,18,critical account,furniture/equipment,1295,<100 debit memo,<1 years,4,none,1,savings agreement/life insurance,27,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,0,1,0,0,0,1
<0 debit memo,6,critical account,furniture/equipment,1872,<100 debit memo,unemployed,4,none,4,unknown / no property,36,none,for free,3,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,0,0,0,0,1
0  to 200 debit memo,18,critical account,car (new),884,<100 debit memo,>=7 years,4,none,4,car or other,36,bank,own,1,skilled employee / official,2,yes,yes,male,divorced/separated,0,1,1,0,1,0
no account,24,delay in paying off,car (new),2538,<100 debit memo,>=7 years,4,none,4,car or other,47,none,own,2,unskilled - resident,2,none,yes,male,divorced/separated,0,0,0,0,0,0
no account,24,existing credits paid back duly till now,radio/television,3105,no savings account,<1 years,4,none,2,car or other,25,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0,1,1,1,0,1
no account,48,critical account,business,7629,no savings account,>=7 years,4,none,2,car or other,46,bank,own,2,management/ highly qualified employee,2,none,yes,male,divorced/separated,0,0,0,0,0,1
<0 debit memo,12,critical account,car (new),2171,<100 debit memo,1 to  4 years,4,none,4,savings agreement/life insurance,38,bank,own,2,unskilled - resident,1,none,no,male,divorced/separated,0,0,0,0,0,1
0  to 200 debit memo,18,existing credits paid back duly till now,car (used),2779,<100 debit memo,1 to  4 years,1,none,3,car or other,21,none,rent,1,skilled employee / official,1,yes,yes,male,married/widowed,0,1,0,0,1,1
<0 debit memo,9,critical account,radio/television,1138,<100 debit memo,1 to  4 years,4,none,4,real estate,25,none,own,2,unskilled - resident,1,none,yes,male,divorced/separated,0,0,0,0,0,1
<0 debit memo,12,existing credits paid back duly till now,furniture/equipment,1657,<100 debit memo,1 to  4 years,2,none,2,real estate,27,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1,1,1,1,1
0  to 200 debit memo,21,existing credits paid back duly till now,business,2767,100  to 500 debit memo,>=7 years,4,none,2,car or other,61,bank,rent,2,unskilled - resident,1,none,yes,male,divorced/separated,1,1,0,0,0,0
0  to 200 debit memo,18,critical account,furniture/equipment,1928,<100 debit memo,<1 years,2,none,2,real estate,31,none,own,2,unskilled - resident,1,none,yes,male,divorced/separated,0,0,0,0,0,0
0  to 200 debit memo,36,existing credits paid back duly till now,repairs,2384,<100 debit memo,<1 years,4,none,1,unknown / no property,33,none,rent,1,unskilled - resident,1,none,yes,male,divorced/separated,0,1,0,0,1,0
no account,9,critical account,education,1244,no savings account,>=7 years,4,none,4,savings agreement/life insurance,41,none,rent,2,unskilled - resident,1,none,yes,female,divorced/separated,0,0,0,0,0,1
no account,12,critical account,furniture/equipment,3331,<100 debit memo,>=7 years,2,none,4,savings agreement/life insurance,42,store,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0,0,0,0,0,1
no account,24,critical account,education,1597,<100 debit memo,>=7 years,4,none,4,unknown / no property,54,none,for free,2,skilled employee / official,2,none,yes,male,divorced/separated,0,0,0,0,0,1
no account,24,delay in paying off,business,3863,<100 debit memo,1 to  4 years,1,none,2,unknown / no property,32,none,for free,1,skilled employee / official,1,none,yes,male,divorced/separated,0,0,0,0,0,1
<0 debit memo,12,existing credits paid back duly till now,radio/television,709,<100 debit memo,>=7 years,4,none,4,real estate,57,store,own,1,unskilled - resident,1,none,yes,male,divorced/separated,1,1,1,1,1,0
0  to 200 debit memo,15,existing credits paid back duly till now,radio/television,802,<100 debit memo,>=7 years,4,none,3,car or other,37,none,own,1,skilled employee / official,2,none,yes,male,divorced/separated,1,1,1,1,1,0
no account,12,existing credits paid back duly till now,furniture/equipment,1736,<100 debit memo,4 to 7 years,3,none,4,real estate,31,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated,1,1,1,0,1,1
<0 debit memo,6,existing credits paid back duly till now,car (new),662,<100 debit memo,<1 years,3,none,4,real estate,41,none,own,1,unskilled - resident,2,yes,yes,male,divorced/separated,1,1,0,0,0,1
no account,6,all credits at this bank paid back duly,car (new),783,no savings account,1 to  4 years,1,guarantor,2,real estate,26,store,own,1,unskilled - resident,2,none,yes,male,divorced/separated,1,1,1,0,1,1
<0 debit memo,21,existing credits paid back duly till now,radio/television,1835,<100 debit memo,1 to  4 years,3,none,2,real estate,25,none,own,2,skilled employee / official,1,yes,yes,female,divorced/separated,1,1,1,1,1,0
0  to 200 debit memo,6,critical account,retraining,932,no savings account,4 to 7 years,1,none,3,savings agreement/life insurance,39,none,own,2,unskilled - resident,1,none,yes,female,divorced/separated,0,1,0,0,0,1
<0 debit memo,6,existing credits paid back duly till now,furniture/equipment,1374,<100 debit memo,1 to  4 years,1,none,2,real estate,36,bank,own,1,unskilled - resident,1,yes,yes,male,divorced/separated,1,1,1,0,1,1
<0 debit memo,8,critical account,others,1164,<100 debit memo,>=7 years,3,none,4,unknown / no property,51,bank,for free,2,management/ highly qualified employee,2,yes,yes,male,divorced/separated,0,0,0,0,0,1
